argc= 3
1B = 3.1097296775e+02
2B = 2.2899660808e+03
3B = 4.6790711578e+01
Disp = -1.3548179077e+03
Buck = 0.0000000000e+00
Elec = -2.9307986349e+03
Total = -1.6378867824e+03

Energy=           -1637.8868
      5.80429317e+00      4.29303277e+00     -5.94048313e+00
     -2.68915578e+00     -1.77018274e+00      1.42949624e+01
     -5.77087669e+00      3.71998692e+00      1.88887836e+00
      7.81282396e-01     -3.70294628e+00     -1.42681634e+01
     -1.33951862e+00      7.40557035e+00     -2.44962681e+01
      2.42597700e+00      2.72731393e+00      1.76977028e+01
      7.81088432e-01     -9.49438385e+00      1.80513642e+00
      9.08593756e+00     -1.28598299e+01      2.28226514e+01
      3.96984121e+00      2.19931912e+01     -1.57437244e+01
     -1.45388630e+01     -9.50707387e-01     -1.89937232e+01
      4.14083167e+00     -2.16582039e+01      1.89260403e+01
     -8.73477106e+00      1.73221576e+01     -1.86810859e+01
      9.59493770e+00      2.79786062e+00      2.10377065e+00
     -1.35828491e+01      1.75206620e+01     -8.78474139e+00
      8.40873062e+00     -4.73741977e+00      6.10652783e-01
      1.24522635e+00     -9.10561900e+00      3.03163929e+00
      1.80280441e+01     -7.85341981e+00     -9.96162113e-01
      7.56560648e+00     -1.34200795e+01     -1.44947772e+00
     -2.34676656e+01      1.60512638e+01      1.85493045e+00
     -1.68898763e+01     -5.66483252e+00     -6.70898048e+00
      3.72430500e+00     -1.31086832e+01     -5.87385712e+00
      1.82312012e+01     -2.77184401e+00      2.58741424e+01
     -1.75504984e+01     -5.26877500e+01      5.66084306e+01
      3.28269833e+00      5.58545439e+01     -5.15670751e+01
      2.49982874e+01     -7.06544772e+00     -1.86751388e+00
      1.93726361e+01     -3.49801647e+01     -4.61507539e+01
     -3.45907441e+01     -3.19613831e-01      2.09633321e+01
      1.00648187e+01      2.35531526e+01      1.88088627e+01
      4.22491265e+01      2.10504783e+01      3.63588849e+01
      1.09289142e+01     -1.68374048e+01     -5.99900494e+00
     -4.20954795e+01     -5.65982320e-01     -1.58898814e+01
     -2.70568694e+01     -8.09728735e+00     -8.31386234e+00
      7.65250858e+00     -3.79793019e+00     -7.28123884e-01
      1.18499703e+01      5.68988085e+00     -1.52240008e+00
      1.00317093e+01      6.26029312e+01      3.05876368e+01
     -2.21092627e+01     -6.04973324e+01     -4.07720095e+01
      1.57316921e+01     -5.04686193e+00      1.55194832e+01
      4.29586435e+01     -1.41155263e+01      2.77463831e+01
